Station Name,Measurement Timestamp,Air Temperature,Wind Speed,Barometric Pressure
63rd Street Weather Station,06/24/2015 07:00:00 AM,19.80,1.4,998.7
63rd Street Weather Station,06/24/2015 08:00:00 AM,20.30,1.5,998.4
63rd Street Weather Station,06/24/2015 09:00:00 AM,21.00,0.8,998.4
63rd Street Weather Station,06/24/2015 10:00:00 AM,20.50,0.8,998.2
63rd Street Weather Station,06/24/2015 11:00:00 AM,20.40,0.3,997.6
63rd Street Weather Station,06/24/2015 12:00:00 PM,20.80,0.5,998.8
63rd Street Weather Station,06/24/2015 01:00:00 PM,24.70,4.0,998.5
63rd Street Weather Station,06/24/2015 02:00:00 PM,24.80,4.0,997.7
63rd Street Weather Station,06/24/2015 03:00:00 PM,25.10,3.2,997.0
63rd Street Weather Station,06/24/2015 04:00:00 PM,25.30,1.3,996.5
63rd Street Weather Station,06/24/2015 05:00:00 PM,24.00,1.1,995.8
63rd Street Weather Station,06/24/2015 06:00:00 PM,24.10,0.7,996.6
63rd Street Weather Station,06/24/2015 07:00:00 PM,24.60,1.5,995.6
63rd Street Weather Station,06/24/2015 08:00:00 PM,23.90,1.3,995.1
63rd Street Weather Station,06/24/2015 09:00:00 PM,22.50,1.3,994.9
63rd Street Weather Station,06/24/2015 10:00:00 PM,23.10,2.2,995.8
63rd Street Weather Station,06/24/2015 11:00:00 PM,22.50,0.0,995.5
63rd Street Weather Station,06/24/2015 12:00:00 AM,17.80,0.6,996.6
63rd Street Weather Station,06/25/2015 01:00:00 AM,21.70,1.3,994.6
63rd Street Weather Station,06/25/2015 02:00:00 AM,21.50,1.8,993.2
63rd Street Weather Station,06/25/2015 03:00:00 AM,21.00,2.7,992.5
63rd Street Weather Station,06/25/2015 04:00:00 AM,19.50,2.6,992.8
63rd Street Weather Station,06/25/2015 05:00:00 AM,19.10,0.8,993.0
63rd Street Weather Station,06/25/2015 06:00:00 AM,19.90,1.1,992.5
63rd Street Weather Station,06/25/2015 07:00:00 AM,20.20,2.1,992.5
63rd Street Weather Station,06/25/2015 08:00:00 AM,20.60,2.6,992.1
63rd Street Weather Station,06/25/2015 09:00:00 AM,21.70,2.2,991.8
63rd Street Weather Station,06/25/2015 10:00:00 AM,23.50,1.4,991.7
63rd Street Weather Station,06/25/2015 11:00:00 AM,25.90,2.0,991.9
63rd Street Weather Station,06/25/2015 01:00:00 PM,22.80,1.7,991.5
63rd Street Weather Station,06/25/2015 02:00:00 PM,18.80,1.1,991.6
63rd Street Weather Station,06/25/2015 03:00:00 PM,19.80,2.2,991.7
63rd Street Weather Station,06/25/2015 04:00:00 PM,19.60,2.7,991.8
63rd Street Weather Station,06/25/2015 05:00:00 PM,20.10,3.2,992.0
63rd Street Weather Station,06/25/2015 06:00:00 PM,18.60,3.9,992.1
63rd Street Weather Station,06/25/2015 07:00:00 PM,17.30,4.4,992.1
63rd Street Weather Station,06/25/2015 08:00:00 PM,17.40,4.4,991.6
63rd Street Weather Station,06/25/2015 09:00:00 PM,17.30,2.2,992.1
63rd Street Weather Station,06/25/2015 10:00:00 PM,16.80,3.4,992.2
63rd Street Weather Station,06/25/2015 11:00:00 PM,17.50,2.9,993.8
63rd Street Weather Station,06/25/2015 12:00:00 AM,21.80,0.9,995.3
63rd Street Weather Station,06/26/2015 01:00:00 AM,17.20,5.0,992.1
63rd Street Weather Station,06/26/2015 02:00:00 AM,16.60,6.5,991.9
63rd Street Weather Station,06/26/2015 03:00:00 AM,16.50,4.1,991.2
63rd Street Weather Station,06/26/2015 04:00:00 AM,16.20,5.0,991.5
63rd Street Weather Station,06/26/2015 05:00:00 AM,15.50,3.2,992.5
63rd Street Weather Station,06/26/2015 06:00:00 AM,15.80,3.0,993.0
63rd Street Weather Station,06/26/2015 07:00:00 AM,16.20,2.8,993.7
63rd Street Weather Station,06/26/2015 08:00:00 AM,16.00,3.7,993.7
63rd Street Weather Station,06/26/2015 09:00:00 AM,16.80,4.9,993.4
63rd Street Weather Station,06/26/2015 10:00:00 AM,17.20,3.8,992.8
63rd Street Weather Station,06/26/2015 11:00:00 AM,17.50,5.2,992.4
63rd Street Weather Station,06/26/2015 12:00:00 PM,17.40,4.5,992.8
63rd Street Weather Station,06/26/2015 01:00:00 PM,17.30,3.1,992.8
63rd Street Weather Station,06/26/2015 02:00:00 PM,17.30,3.1,992.1
63rd Street Weather Station,06/26/2015 03:00:00 PM,17.10,4.0,992.0
63rd Street Weather Station,06/26/2015 04:00:00 PM,17.00,4.4,992.3
63rd Street Weather Station,06/26/2015 05:00:00 PM,16.70,5.4,992.3
63rd Street Weather Station,06/26/2015 06:00:00 PM,16.20,4.4,992.7
63rd Street Weather Station,06/26/2015 07:00:00 PM,16.40,4.8,992.4
63rd Street Weather Station,06/26/2015 08:00:00 PM,16.20,6.1,992.2
63rd Street Weather Station,06/26/2015 09:00:00 PM,16.40,6.1,992.0
63rd Street Weather Station,06/26/2015 10:00:00 PM,17.30,5.0,992.8
63rd Street Weather Station,06/26/2015 11:00:00 PM,16.60,4.3,992.8
63rd Street Weather Station,06/26/2015 12:00:00 AM,17.60,3.4,992.4
63rd Street Weather Station,06/27/2015 01:00:00 AM,16.50,3.2,992.0
63rd Street Weather Station,06/27/2015 02:00:00 AM,16.30,4.8,991.2
63rd Street Weather Station,06/27/2015 03:00:00 AM,16.90,3.1,990.9
63rd Street Weather Station,06/27/2015 04:00:00 AM,16.60,4.1,990.8
63rd Street Weather Station,06/27/2015 05:00:00 AM,16.60,3.4,991.1
63rd Street Weather Station,06/27/2015 06:00:00 AM,16.20,5.3,991.3
63rd Street Weather Station,06/27/2015 07:00:00 AM,16.10,4.3,991.5
63rd Street Weather Station,06/27/2015 08:00:00 AM,15.70,7.4,992.0
63rd Street Weather Station,06/27/2015 09:00:00 AM,15.80,5.8,992.4
63rd Street Weather Station,06/27/2015 10:00:00 AM,16.00,5.7,992.5
63rd Street Weather Station,06/27/2015 11:00:00 AM,16.40,6.7,993.1
63rd Street Weather Station,06/27/2015 12:00:00 PM,16.60,6.2,993.3
63rd Street Weather Station,06/27/2015 01:00:00 PM,17.00,5.7,993.5
63rd Street Weather Station,06/27/2015 02:00:00 PM,17.80,4.2,993.1
63rd Street Weather Station,06/27/2015 03:00:00 PM,18.10,4.0,993.0
63rd Street Weather Station,06/27/2015 04:00:00 PM,18.10,4.8,992.8
63rd Street Weather Station,06/27/2015 05:00:00 PM,18.90,4.1,992.6
63rd Street Weather Station,06/27/2015 06:00:00 PM,19.20,4.0,992.3
63rd Street Weather Station,06/27/2015 07:00:00 PM,17.90,3.0,992.1
63rd Street Weather Station,06/27/2015 08:00:00 PM,17.60,3.7,991.7
63rd Street Weather Station,06/27/2015 09:00:00 PM,18.20,3.2,991.6
63rd Street Weather Station,06/27/2015 10:00:00 PM,17.90,2.3,991.5
63rd Street Weather Station,06/27/2015 11:00:00 PM,18.40,2.7,991.3
63rd Street Weather Station,06/27/2015 12:00:00 AM,16.50,3.5,992.5
63rd Street Weather Station,06/28/2015 02:00:00 AM,16.40,1.6,991.0
63rd Street Weather Station,06/28/2015 03:00:00 AM,16.00,1.8,990.8
63rd Street Weather Station,06/28/2015 04:00:00 AM,15.60,1.4,990.5
63rd Street Weather Station,06/28/2015 05:00:00 AM,15.00,1.2,990.7
63rd Street Weather Station,06/28/2015 06:00:00 AM,15.50,0.0,991.0
63rd Street Weather Station,06/28/2015 07:00:00 AM,18.60,0.0,991.1
63rd Street Weather Station,06/28/2015 08:00:00 AM,19.90,0.5,991.7
63rd Street Weather Station,06/28/2015 09:00:00 AM,20.30,1.1,991.4
63rd Street Weather Station,06/28/2015 10:00:00 AM,18.90,0.7,991.2
63rd Street Weather Station,06/28/2015 11:00:00 AM,19.70,0.4,990.7
63rd Street Weather Station,06/28/2015 12:00:00 PM,20.50,0.9,990.2
63rd Street Weather Station,06/28/2015 01:00:00 PM,20.70,1.2,989.7
63rd Street Weather Station,06/28/2015 02:00:00 PM,21.10,2.9,989.2
63rd Street Weather Station,06/28/2015 03:00:00 PM,20.80,0.9,988.7
63rd Street Weather Station,06/28/2015 04:00:00 PM,20.90,0.7,988.2
63rd Street Weather Station,06/28/2015 05:00:00 PM,22.70,3.5,988.3
63rd Street Weather Station,06/28/2015 06:00:00 PM,22.90,1.6,988.0
63rd Street Weather Station,06/28/2015 07:00:00 PM,22.70,1.8,987.9
63rd Street Weather Station,06/28/2015 08:00:00 PM,22.80,2.2,987.8
63rd Street Weather Station,06/28/2015 09:00:00 PM,20.60,0.6,987.5
63rd Street Weather Station,06/28/2015 10:00:00 PM,20.30,1.9,988.1
63rd Street Weather Station,06/28/2015 11:00:00 PM,21.00,2.1,988.2
63rd Street Weather Station,06/28/2015 12:00:00 AM,18.20,1.9,991.5
63rd Street Weather Station,06/29/2015 01:00:00 AM,20.40,1.3,987.5
63rd Street Weather Station,06/29/2015 02:00:00 AM,20.10,2.2,986.8
63rd Street Weather Station,06/29/2015 03:00:00 AM,19.70,0.5,986.6
63rd Street Weather Station,06/29/2015 04:00:00 AM,19.50,0.0,986.5
63rd Street Weather Station,06/29/2015 05:00:00 AM,18.80,0.9,986.5
63rd Street Weather Station,06/29/2015 06:00:00 AM,18.80,1.1,986.5
63rd Street Weather Station,06/29/2015 07:00:00 AM,18.40,1.0,986.9
63rd Street Weather Station,06/29/2015 08:00:00 AM,18.50,0.5,987.2
63rd Street Weather Station,06/29/2015 09:00:00 AM,18.40,0.6,987.3
63rd Street Weather Station,06/29/2015 10:00:00 AM,18.80,2.6,987.0
63rd Street Weather Station,06/29/2015 11:00:00 AM,18.50,2.6,987.1
63rd Street Weather Station,06/29/2015 12:00:00 PM,18.50,1.1,987.3
63rd Street Weather Station,06/29/2015 01:00:00 PM,18.60,2.1,987.2
63rd Street Weather Station,06/29/2015 02:00:00 PM,19.40,0.9,987.2
63rd Street Weather Station,06/29/2015 03:00:00 PM,19.20,1.4,986.8
63rd Street Weather Station,06/29/2015 04:00:00 PM,19.20,1.5,986.7
63rd Street Weather Station,06/29/2015 05:00:00 PM,19.80,1.3,986.5
63rd Street Weather Station,06/29/2015 06:00:00 PM,18.90,1.6,986.5
63rd Street Weather Station,06/29/2015 07:00:00 PM,19.90,0.6,986.7
63rd Street Weather Station,06/29/2015 08:00:00 PM,19.20,0.9,986.6
63rd Street Weather Station,06/29/2015 09:00:00 PM,19.00,0.4,986.6
63rd Street Weather Station,06/29/2015 10:00:00 PM,19.80,0.0,986.8
63rd Street Weather Station,06/29/2015 11:00:00 PM,19.10,0.0,986.6
63rd Street Weather Station,06/29/2015 12:00:00 AM,20.80,1.4,987.8
63rd Street Weather Station,06/30/2015 01:00:00 AM,19.30,2.1,986.0
63rd Street Weather Station,06/30/2015 02:00:00 AM,19.30,1.9,985.9
63rd Street Weather Station,06/30/2015 03:00:00 AM,19.30,0.0,985.8
63rd Street Weather Station,06/30/2015 04:00:00 AM,19.00,1.8,985.4
63rd Street Weather Station,06/30/2015 05:00:00 AM,19.10,2.4,985.6
63rd Street Weather Station,06/30/2015 06:00:00 AM,18.80,2.3,986.2
63rd Street Weather Station,06/30/2015 07:00:00 AM,19.20,1.5,986.7
63rd Street Weather Station,06/30/2015 08:00:00 AM,20.00,1.6,986.9
63rd Street Weather Station,06/30/2015 09:00:00 AM,21.20,1.8,987.3
63rd Street Weather Station,06/30/2015 10:00:00 AM,22.30,4.0,987.0
63rd Street Weather Station,06/30/2015 11:00:00 AM,23.50,1.8,986.9
63rd Street Weather Station,06/30/2015 12:00:00 PM,22.40,1.6,987.0
63rd Street Weather Station,06/30/2015 01:00:00 PM,20.30,1.7,987.2
63rd Street Weather Station,06/30/2015 02:00:00 PM,18.90,4.9,987.1
63rd Street Weather Station,06/30/2015 03:00:00 PM,19.20,2.9,987.4
63rd Street Weather Station,06/30/2015 04:00:00 PM,19.40,0.4,987.3
63rd Street Weather Station,06/30/2015 05:00:00 PM,19.20,5.4,987.9
63rd Street Weather Station,06/30/2015 06:00:00 PM,16.20,4.8,988.3
63rd Street Weather Station,06/30/2015 07:00:00 PM,15.60,3.8,988.7
63rd Street Weather Station,06/30/2015 08:00:00 PM,15.80,5.0,989.3
63rd Street Weather Station,06/30/2015 09:00:00 PM,15.50,4.4,989.8
63rd Street Weather Station,06/30/2015 10:00:00 PM,15.80,2.9,990.3
63rd Street Weather Station,06/30/2015 11:00:00 PM,15.80,2.5,990.7
63rd Street Weather Station,06/30/2015 12:00:00 AM,19.60,1.6,986.2
63rd Street Weather Station,07/01/2015 01:00:00 AM,15.80,4.0,990.6
63rd Street Weather Station,07/01/2015 02:00:00 AM,15.60,3.8,990.8
63rd Street Weather Station,07/01/2015 03:00:00 AM,15.10,2.2,990.8
63rd Street Weather Station,07/01/2015 04:00:00 AM,14.90,4.0,991.2
63rd Street Weather Station,07/01/2015 05:00:00 AM,14.60,4.0,990.9
63rd Street Weather Station,07/01/2015 06:00:00 AM,14.40,2.2,991.4
63rd Street Weather Station,07/01/2015 07:00:00 AM,14.60,2.2,992.2
63rd Street Weather Station,07/01/2015 08:00:00 AM,14.50,4.8,992.2
63rd Street Weather Station,07/01/2015 09:00:00 AM,14.70,3.8,992.4
63rd Street Weather Station,07/01/2015 10:00:00 AM,15.10,2.1,992.7
63rd Street Weather Station,07/01/2015 11:00:00 AM,14.90,2.3,992.8
63rd Street Weather Station,07/01/2015 12:00:00 PM,15.00,4.0,992.7
63rd Street Weather Station,07/01/2015 01:00:00 PM,15.10,4.2,992.8
63rd Street Weather Station,07/01/2015 02:00:00 PM,14.80,4.3,992.4
63rd Street Weather Station,07/01/2015 03:00:00 PM,14.70,4.2,992.7
63rd Street Weather Station,07/01/2015 04:00:00 PM,14.70,4.8,992.4
63rd Street Weather Station,07/01/2015 05:00:00 PM,14.60,2.6,992.3
63rd Street Weather Station,07/01/2015 06:00:00 PM,14.70,4.3,992.7
63rd Street Weather Station,07/01/2015 07:00:00 PM,14.40,4.1,993.2
63rd Street Weather Station,07/01/2015 08:00:00 PM,14.30,1.9,993.1
63rd Street Weather Station,07/01/2015 12:00:00 AM,15.80,4.1,990.2
63rd Street Weather Station,07/02/2015 02:00:00 PM,16.10,6.0,993.1
63rd Street Weather Station,07/02/2015 03:00:00 PM,16.10,6.7,993.2
63rd Street Weather Station,07/02/2015 04:00:00 PM,16.40,5.5,992.8
63rd Street Weather Station,07/02/2015 05:00:00 PM,16.80,4.3,992.8
63rd Street Weather Station,07/02/2015 06:00:00 PM,16.00,6.9,992.2
63rd Street Weather Station,07/02/2015 07:00:00 PM,16.00,6.8,992.2
63rd Street Weather Station,07/02/2015 08:00:00 PM,15.80,6.0,992.7
63rd Street Weather Station,07/02/2015 09:00:00 PM,15.60,4.3,992.9
63rd Street Weather Station,07/02/2015 10:00:00 PM,16.10,4.5,993.3
63rd Street Weather Station,07/02/2015 11:00:00 PM,16.60,3.2,992.8
63rd Street Weather Station,07/03/2015 01:00:00 AM,17.00,2.6,992.9
63rd Street Weather Station,07/03/2015 02:00:00 AM,17.00,2.2,992.3
63rd Street Weather Station,07/03/2015 03:00:00 AM,17.20,2.6,992.1
63rd Street Weather Station,07/03/2015 04:00:00 AM,17.30,0.9,991.7
63rd Street Weather Station,07/03/2015 05:00:00 AM,17.30,1.0,991.8
63rd Street Weather Station,07/03/2015 06:00:00 AM,17.20,0.8,992.0
63rd Street Weather Station,07/03/2015 07:00:00 AM,17.20,2.0,992.4
63rd Street Weather Station,07/03/2015 08:00:00 AM,17.60,0.7,992.7
63rd Street Weather Station,07/03/2015 09:00:00 AM,17.80,1.9,992.8
63rd Street Weather Station,07/03/2015 10:00:00 AM,17.80,2.1,992.5
63rd Street Weather Station,07/03/2015 11:00:00 AM,17.90,2.7,992.5
63rd Street Weather Station,07/03/2015 12:00:00 PM,17.90,3.3,992.7
63rd Street Weather Station,07/03/2015 01:00:00 PM,18.30,1.6,992.7
63rd Street Weather Station,07/03/2015 02:00:00 PM,18.20,2.6,992.4
63rd Street Weather Station,07/03/2015 03:00:00 PM,18.50,3.1,991.8
63rd Street Weather Station,07/03/2015 04:00:00 PM,18.80,2.3,991.5
63rd Street Weather Station,07/03/2015 05:00:00 PM,18.90,1.3,991.2
63rd Street Weather Station,07/03/2015 06:00:00 PM,18.90,2.2,990.9
63rd Street Weather Station,07/03/2015 07:00:00 PM,18.60,1.9,991.0
63rd Street Weather Station,07/03/2015 08:00:00 PM,18.20,0.7,990.8
63rd Street Weather Station,07/03/2015 09:00:00 PM,18.40,0.6,990.8
63rd Street Weather Station,07/03/2015 10:00:00 PM,18.50,1.1,991.3
63rd Street Weather Station,07/03/2015 11:00:00 PM,18.50,0.5,991.5
63rd Street Weather Station,07/03/2015 12:00:00 AM,16.90,2.9,993.1
63rd Street Weather Station,07/04/2015 01:00:00 AM,18.00,0.6,991.9
63rd Street Weather Station,07/04/2015 02:00:00 AM,18.20,0.9,991.6
63rd Street Weather Station,07/04/2015 03:00:00 AM,17.80,1.0,991.7
63rd Street Weather Station,07/04/2015 04:00:00 AM,17.30,1.5,992.0
63rd Street Weather Station,07/04/2015 05:00:00 AM,17.40,1.6,992.0
63rd Street Weather Station,07/04/2015 06:00:00 AM,17.30,1.8,992.3
63rd Street Weather Station,07/04/2015 07:00:00 AM,18.70,1.9,992.6
63rd Street Weather Station,07/04/2015 08:00:00 AM,20.80,2.2,992.9
63rd Street Weather Station,07/04/2015 09:00:00 AM,22.60,1.3,993.0
63rd Street Weather Station,07/04/2015 10:00:00 AM,21.50,0.3,993.3
63rd Street Weather Station,07/04/2015 11:00:00 AM,22.00,0.0,993.7
63rd Street Weather Station,07/04/2015 12:00:00 PM,21.20,2.1,993.9
63rd Street Weather Station,07/04/2015 01:00:00 PM,21.00,0.6,993.6
63rd Street Weather Station,07/04/2015 02:00:00 PM,21.20,2.3,993.7
63rd Street Weather Station,07/04/2015 03:00:00 PM,21.80,0.0,993.5
63rd Street Weather Station,07/04/2015 04:00:00 PM,22.00,1.2,993.3
63rd Street Weather Station,07/04/2015 05:00:00 PM,21.30,1.2,993.4
63rd Street Weather Station,07/04/2015 06:00:00 PM,21.40,0.0,992.9
63rd Street Weather Station,07/04/2015 07:00:00 PM,21.10,0.4,992.8
63rd Street Weather Station,07/04/2015 08:00:00 PM,20.60,1.0,993.1
63rd Street Weather Station,07/04/2015 09:00:00 PM,20.40,0.6,993.6
63rd Street Weather Station,07/04/2015 10:00:00 PM,21.00,0.9,994.2
63rd Street Weather Station,07/04/2015 11:00:00 PM,21.00,0.0,994.4
63rd Street Weather Station,07/04/2015 12:00:00 AM,17.80,0.6,991.7
63rd Street Weather Station,07/05/2015 03:00:00 AM,20.20,1.3,995.2
63rd Street Weather Station,07/05/2015 04:00:00 AM,19.80,0.8,995.5
63rd Street Weather Station,07/05/2015 05:00:00 AM,19.20,1.4,995.5
63rd Street Weather Station,07/05/2015 06:00:00 AM,19.30,1.9,995.8
63rd Street Weather Station,07/05/2015 07:00:00 AM,20.50,1.8,996.2
63rd Street Weather Station,07/05/2015 08:00:00 AM,22.90,1.7,996.6
63rd Street Weather Station,07/05/2015 09:00:00 AM,24.30,0.0,996.4
63rd Street Weather Station,07/05/2015 10:00:00 AM,22.30,0.6,996.2
63rd Street Weather Station,07/05/2015 11:00:00 AM,22.10,2.3,996.4
63rd Street Weather Station,07/05/2015 12:00:00 PM,23.70,2.6,996.1
63rd Street Weather Station,07/05/2015 01:00:00 PM,23.30,0.9,996.0
63rd Street Weather Station,07/05/2015 02:00:00 PM,23.20,2.0,995.5
63rd Street Weather Station,07/05/2015 04:00:00 PM,22.80,2.2,994.9
63rd Street Weather Station,07/05/2015 05:00:00 PM,23.30,0.0,994.7
63rd Street Weather Station,07/05/2015 06:00:00 PM,22.80,1.0,994.5
63rd Street Weather Station,07/05/2015 07:00:00 PM,22.00,0.6,994.4
63rd Street Weather Station,07/05/2015 08:00:00 PM,21.80,1.6,994.1
63rd Street Weather Station,07/05/2015 09:00:00 PM,21.90,1.7,994.1
63rd Street Weather Station,07/05/2015 10:00:00 PM,21.60,1.6,994.2
63rd Street Weather Station,07/05/2015 11:00:00 PM,23.50,2.0,993.7
63rd Street Weather Station,07/05/2015 12:00:00 AM,20.70,0.7,994.5
63rd Street Weather Station,07/06/2015 01:00:00 AM,22.80,2.2,993.5
63rd Street Weather Station,07/06/2015 02:00:00 AM,22.30,1.5,993.4
63rd Street Weather Station,07/06/2015 03:00:00 AM,21.90,1.4,994.2
63rd Street Weather Station,07/06/2015 04:00:00 AM,21.20,1.2,993.8
63rd Street Weather Station,07/06/2015 05:00:00 AM,21.10,3.6,992.6
63rd Street Weather Station,07/06/2015 06:00:00 AM,20.90,1.8,993.4
63rd Street Weather Station,07/06/2015 07:00:00 AM,21.30,1.5,993.7
63rd Street Weather Station,07/06/2015 08:00:00 AM,22.80,3.3,993.3
63rd Street Weather Station,07/06/2015 09:00:00 AM,24.60,4.1,993.0
63rd Street Weather Station,07/06/2015 10:00:00 AM,26.00,4.0,992.7
63rd Street Weather Station,07/06/2015 11:00:00 AM,27.30,3.5,992.8
63rd Street Weather Station,07/06/2015 12:00:00 PM,27.70,4.6,991.9
63rd Street Weather Station,07/06/2015 01:00:00 PM,28.30,4.9,990.9
63rd Street Weather Station,07/06/2015 02:00:00 PM,29.30,3.9,990.4
63rd Street Weather Station,07/06/2015 03:00:00 PM,29.70,3.0,990.4
63rd Street Weather Station,07/06/2015 04:00:00 PM,23.10,2.4,990.1
63rd Street Weather Station,07/06/2015 05:00:00 PM,22.80,1.5,989.6
63rd Street Weather Station,07/06/2015 06:00:00 PM,27.00,5.2,988.5
63rd Street Weather Station,07/06/2015 07:00:00 PM,26.90,3.7,988.3
63rd Street Weather Station,07/06/2015 08:00:00 PM,26.10,3.5,988.0
63rd Street Weather Station,07/06/2015 09:00:00 PM,26.00,2.5,988.6
63rd Street Weather Station,07/06/2015 10:00:00 PM,23.20,4.0,989.6
63rd Street Weather Station,07/06/2015 11:00:00 PM,22.60,2.6,988.2
63rd Street Weather Station,07/06/2015 12:00:00 AM,23.20,1.1,993.7
63rd Street Weather Station,07/07/2015 01:00:00 AM,22.60,2.7,988.1
63rd Street Weather Station,07/07/2015 02:00:00 AM,22.50,1.6,988.2
63rd Street Weather Station,07/07/2015 03:00:00 AM,22.50,2.3,988.1
63rd Street Weather Station,07/07/2015 04:00:00 AM,22.20,2.0,987.9
63rd Street Weather Station,07/07/2015 05:00:00 AM,16.10,8.1,988.7
63rd Street Weather Station,07/07/2015 06:00:00 AM,15.60,9.9,989.8
63rd Street Weather Station,07/07/2015 07:00:00 AM,15.00,9.9,991.2
63rd Street Weather Station,07/07/2015 08:00:00 AM,14.30,8.6,991.9
63rd Street Weather Station,07/07/2015 09:00:00 AM,15.20,7.5,992.6
63rd Street Weather Station,07/07/2015 10:00:00 AM,15.10,8.4,993.0
63rd Street Weather Station,07/07/2015 11:00:00 AM,15.80,9.6,993.0
63rd Street Weather Station,07/07/2015 12:00:00 PM,15.90,7.9,993.5
63rd Street Weather Station,07/07/2015 01:00:00 PM,16.10,8.6,993.9
63rd Street Weather Station,07/07/2015 02:00:00 PM,16.40,7.3,994.6
63rd Street Weather Station,07/07/2015 03:00:00 PM,16.00,6.1,995.1
63rd Street Weather Station,07/07/2015 04:00:00 PM,16.30,7.7,995.1
63rd Street Weather Station,07/07/2015 05:00:00 PM,16.00,5.5,995.3
63rd Street Weather Station,07/07/2015 06:00:00 PM,16.10,6.7,995.6
63rd Street Weather Station,07/07/2015 07:00:00 PM,16.30,5.5,995.7
63rd Street Weather Station,07/07/2015 08:00:00 PM,16.00,5.4,995.4
63rd Street Weather Station,07/07/2015 09:00:00 PM,15.70,5.1,995.9
63rd Street Weather Station,07/07/2015 10:00:00 PM,15.50,4.5,996.6
63rd Street Weather Station,07/07/2015 11:00:00 PM,15.70,4.5,996.6
63rd Street Weather Station,07/07/2015 12:00:00 AM,22.70,0.7,988.7
63rd Street Weather Station,07/08/2015 01:00:00 AM,15.80,3.8,996.5
63rd Street Weather Station,07/08/2015 02:00:00 AM,15.40,5.5,996.3
